,Nombre,Fecha publicación,Autores,Categorías,Mecánicas,Puntuación,Jugadores,Jugadores mínimos,Jugadores máximos,Duración,Duración mínima,Duración máxima,Edad,Complejidad,Dep idioma,Edición juegos,Juegos relacionados
https://www.ludonauta.es/juegos-mesas/scythe-el-auge-de-fenris-2018,Scythe: El Auge de Fenris,2018,"['Jamey Stegmaier', 'Ryan Lopez DeVinaspre']","['Ciencia ficción', 'Civilización', 'Combate', 'Dominio territorial', 'Economía']","['Batallas dirigidas por cartas', 'Control de áreas / Mayorías', 'Cooperativo', 'Escenarios, misiones o campañas', 'Habilidades variables', 'Solitario']","7,97",1-5,1.0,5.0,75-150,75.0,150.0,12.0,3.0,4.0,Expansión de,['Scythe']
https://www.ludonauta.es/juegos-mesas/wingspan-expansion-europea-2019,Wingspan: Expansión Europea,2019,['Elizabeth Hargrave'],"['Animales', 'Economía', 'Educativo']","['Bonus de fin de partida', 'Colección de ítems', 'Draft de cartas', 'Gestión de mano', 'Lanzamiento de dados']","7,97",1-5,1.0,5.0,40-70,40.0,70.0,10.0,2.0,4.0,Expansión de,"['Wingspan', 'Wingspan: Asia']"
https://www.ludonauta.es/juegos-mesas/terraforming-mars-2016,Terraforming Mars,2016,['Jacob Fryxelius'],"['Ciencia ficción', 'Dominio territorial', 'Economía', 'Exploración espacial', 'Industrial', 'Medioambiental']","['Árboles/tracks de tecnología', 'Bonus de fin de partida', 'Cercado de áreas', 'Colección de ítems', 'Colocación de losetas', 'Configuración variable', 'Contratos', 'Draft', 'Draft de cartas', 'Etiquetas', 'Gestión de mano', 'Habilidades de un solo uso por partida', 'Habilidades variables', 'Ingresos', 'Movimiento en casillas hexagonales', 'Orden de turno progresivo', 'Puntos de victoria como recursos', 'Solitario', 'Toma eso']","7,94",1-5,1.0,5.0,120,120.0,120.0,12.0,3.0,3.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/wingspan-expansion-de-oceania-2020,Wingspan: Expansión de Oceanía,2020,['Elizabeth Hargrave'],"['Animales', 'Economía', 'Educativo']","['Colección de ítems', 'Draft de cartas', 'Gestión de mano', 'Lanzamiento de dados']","7,94",1-5,1.0,5.0,40-70,40.0,70.0,10.0,3.0,4.0,Expansión de,"['Wingspan', 'Wingspan: Asia']"
https://www.ludonauta.es/juegos-mesas/spirit-island-branch-claw-2017,Spirit Island: Branch & Claw,2017,['R. Eric Reuss'],"['Combate', 'Edad de la razón', 'Fantasía', 'Medioambiental', 'Mitología']","['Cooperativo', 'Draft de cartas', 'Gestión de mano', 'Habilidades variables', 'Selección simultánea de acciones', 'Tablero modular']","7,94",1-4,1.0,4.0,90-120,90.0,120.0,14.0,4.0,4.0,Expansión de,['Spirit Island']
https://www.ludonauta.es/juegos-mesas/tuscany-edicion-esencial-2016,Tuscany Edición Esencial,2016,"['Alan Stone', 'Jamey Stegmaier']",['Agricultura'],"['Colocación de trabajadores', 'Habilidades variables', 'Marcador de ventaja']","7,93",1-6,1.0,6.0,60-150,60.0,150.0,14.0,3.0,3.0,Expansión de,"['Viticulture', 'Viticulture Edición Esencial']"
https://www.ludonauta.es/juegos-mesas/gloomhaven-fauces-del-leon-2020,Gloomhaven: Fauces del León,2020,['Isaac Childres'],"['Aventuras', 'Combate', 'Exploración', 'Fantasía', 'Miniaturas']","['Batallas dirigidas por cartas', 'Construcción de mazo', 'Cooperativo', 'Escenarios, misiones o campañas', 'Gestión de mano', 'Golpes y fallos críticos', 'Habilidades de un solo uso por partida', 'Habilidades variables', 'Legacy', 'Límites en la comunicación', 'Línea de visión', 'Movimiento en casillas hexagonales', 'Movimiento por celdas', 'Programación de acciones', 'Recuperación de acciones', 'Selección simultánea de acciones', 'Solitario']","7,93",1-4,1.0,4.0,30-120,30.0,120.0,14.0,4.0,4.0,Integración de,"['Gloomhaven', 'Frosthaven']"
https://www.ludonauta.es/juegos-mesas/las-ruinas-perdidas-de-arnak-lideres-de-la-expedicion-2021,Las ruinas perdidas de Arnak: Líderes de la expedición,2021,"['Elwen', 'Mín']","['Aventuras', 'Edad antigua', 'Exploración', 'Viajes']","['Colocación de trabajadores', 'Creación de mazo, bolsa o conjunto', 'Draft de cartas', 'Habilidades variables', 'Solitario']","7,93",1-4,1.0,4.0,30-120,30.0,120.0,12.0,3.0,3.0,Expansión de,['Las ruinas perdidas de Arnak']
https://www.ludonauta.es/juegos-mesas/la-tripulacion-mision-mar-profundo-2021,La Tripulación: Misión mar profundo,2021,['Thomas Sing'],"['Cartas', 'Ciencia ficción', 'Marítimo']","['Cartas por bazas', 'Cooperativo', 'Escenarios, misiones o campañas', 'Gestión de mano', 'Límites en la comunicación']","7,92",2-5,2.0,5.0,20,20.0,20.0,10.0,2.0,2.0,Reimplementación de,['La Tripulación: En busca del noveno planeta']
https://www.ludonauta.es/juegos-mesas/7-wonders-duel-2015,7 Wonders: Duel,2015,"['Antoine Bauza', 'Bruno Cathala']","['Cartas', 'Civilización', 'Economía', 'Edad antigua', 'Edificación']","['Árboles/tracks de tecnología', 'Bonus de fin de partida', 'Cartas multiuso', 'Colección de ítems', 'Configuración variable', 'Draft', 'Draft de cartas', 'Etiquetas', 'Final por muerte súbita', 'Habilidades de un solo uso por partida', 'Habilidades variables', 'Ingresos', 'Mercado', 'Puntos de victoria como recursos', 'Sobreposición de elementos', 'Tablero modular', 'Tira y afloja']","7,89",2,2.0,2.0,30,30.0,30.0,10.0,2.0,1.0,Reimplementación de,['7 Wonders']
https://www.ludonauta.es/juegos-mesas/terraforming-mars-hellas-elysium-2017,Terraforming Mars: Hellas & Elysium,2017,['Jacob Fryxelius'],"['Ciencia ficción', 'Dominio territorial', 'Economía', 'Industrial', 'Medioambiental']","['Colocación de losetas', 'Draft de cartas', 'Gestión de mano', 'Habilidades variables']","7,87",1-5,1.0,5.0,90-120,90.0,120.0,12.0,3.0,1.0,Expansión de,['Terraforming Mars']
https://www.ludonauta.es/juegos-mesas/twilight-imperium-4a-edicion-2017,Twilight Imperium (4ª edición),2017,"['Christian T. Petersen', 'Corey Konieczka', 'Dane Beltrami']","['Ciencia ficción', 'Civilización', 'Economía', 'Exploración', 'Exploración espacial', 'Negociación', 'Político', 'Wargame']","['Árboles/tracks de tecnología', 'Aumento del valor de los recursos no elegidos', 'Carrera', 'Colección de ítems', 'Comercio', 'Configuración variable', 'Control de áreas / Mayorías', 'Draft de acciones', 'Habilidades variables', 'Lanzamiento de dados', 'Movimiento de áreas', 'Movimiento en casillas hexagonales', 'Movimiento por celdas', 'Movimiento por tropas', 'Rey de la colina', 'Rondas variables', 'Seguimiento', 'Tablero modular', 'Votación']","7,87",3-6,3.0,6.0,240-480,240.0,480.0,14.0,4.0,4.0,Reimplementación de,['Twilight Imperium (3ª edición)']
https://www.ludonauta.es/juegos-mesas/the-castles-of-burgundy-2019,The Castles of Burgundy,2019,['Stefan Feld'],"['Dados', 'Dominio territorial', 'Medieval']","['Asociaciones / Agrupaciones', 'Bonus de fin de partida', 'Cobertura de rejilla', 'Colección de ítems', 'Colocación de losetas', 'Colocación de trabajadores con dados', 'Configuración variable', 'Construcción de patrones', 'Lanzamiento de dados', 'Movimiento en casillas hexagonales', 'Orden de turno basado en estadísticas', 'Solitario']","7,86",1-4,1.0,4.0,70-120,70.0,120.0,12.0,3.0,1.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/dominion-prosperidad-2010,Dominion: Prosperidad,2010,['Donald X. Vaccarino'],"['Cartas', 'Medieval']","['Compra retardada', 'Creación de mazo, bolsa o conjunto', 'Draft de cartas', 'Gestión de mano']","7,86",2-4,2.0,4.0,30,30.0,30.0,13.0,2.0,3.0,Expansión de,"['Dominion', 'Dominion: Intriga', 'Dominion (2ª edición)']"
https://www.ludonauta.es/juegos-mesas/star-wars-rebellion-2016,Star Wars: Rebellion,2016,['Corey Konieczka'],"['Ciencia ficción', 'Cine / Televisión / Radio', 'Combate', 'Dados', 'Exploración espacial', 'Guerra civil', 'Miniaturas', 'Wargame']","['Asociaciones / Agrupaciones', 'Colocación de trabajadores de diferentes tipos', 'Compra retardada', 'Configuración variable', 'Contratos', 'Control de áreas / Mayorías', 'Etiquetas', 'Eventos', 'Gestión de mano', 'Habilidades de un solo uso por partida', 'Habilidades variables', 'Ingresos', 'Lanzamiento de dados', 'Movimiento de áreas', 'Movimiento oculto', 'Movimiento por tropas', 'Resolución de conflictos mediante cartas', 'Resolución de iconos de dados', 'Simulación', 'Toma eso']","7,85",2-4,2.0,4.0,180-240,180.0,240.0,14.0,4.0,4.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/star-wars-rebellion-el-auge-del-imperio-2017,Star Wars: Rebellion – El auge del Imperio,2017,['Corey Konieczka'],"['Ciencia ficción', 'Cine / Televisión / Radio', 'Wargame']","['Asociaciones / Agrupaciones', 'Control de áreas / Mayorías', 'Gestión de mano', 'Lanzamiento de dados', 'Movimiento de áreas']","7,84",2-4,2.0,4.0,180-240,180.0,240.0,14.0,4.0,4.0,Expansión de,['Star Wars: Rebellion']
https://www.ludonauta.es/juegos-mesas/guerra-del-anillo-2012,Guerra del Anillo,2011,"['Francesco Nepitello', 'Kristofer Bengtsson', 'Marco Maggi', 'Roberto Di Meglio']","['Aventuras', 'Basado en novela', 'Combate', 'Dados', 'Dominio territorial', 'Fantasía', 'Miniaturas', 'Wargame']","['Asociaciones / Agrupaciones', 'Batallas dirigidas por cartas', 'Configuración variable', 'Control de áreas / Mayorías', 'Draft de acciones', 'Eventos', 'Gestión de mano', 'Lanzamiento de dados', 'Movimiento de áreas', 'Movimiento oculto', 'Puntos de movimiento', 'Resolución de conflictos mediante cartas', 'Simulación']","7,82",2-4,2.0,4.0,150-180,150.0,180.0,13.0,4.0,4.0,Reimplementación de,['Guerra del Anillo']
https://www.ludonauta.es/juegos-mesas/wingspan-2019,Wingspan,2019,['Elizabeth Hargrave'],"['Animales', 'Cartas', 'Dados', 'Economía', 'Educativo']","['Bonus de fin de partida', 'Colección de ítems', 'Contratos', 'Draft', 'Draft de cartas', 'Gestión de mano', 'Habilidades de un solo uso por partida', 'Lanzamiento de dados', 'Orden de turno progresivo', 'Solitario']","7,81",1-5,1.0,5.0,40-70,40.0,70.0,10.0,2.0,4.0,Integración de,['Wingspan: Asia']
https://www.ludonauta.es/juegos-mesas/cascadia-2021,Cascadia,2021,['Randy Flynn'],"['Abstracto', 'Animales', 'Medioambiental', 'Puzzle']","['Bonus de fin de partida', 'Colocación de losetas', 'Configuración variable', 'Construcción de patrones', 'Draft', 'Draft de cartas', 'Movimiento en casillas hexagonales', 'Puntos de victoria como recursos', 'Solitario']","7,80",1-4,1.0,4.0,30-45,30.0,45.0,10.0,2.0,2.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/eclipse-el-segundo-amanecer-de-la-galaxia-2020,Eclipse: El segundo amanecer de la galaxia,2020,['Touko Tahkokallio'],"['Ciencia ficción', 'Civilización', 'Combate', 'Exploración espacial', 'Wargame']","['Alianzas', 'Árboles/tracks de tecnología', 'Colocación de losetas', 'Control de áreas / Mayorías', 'Eliminación de jugadores', 'Golpes y fallos críticos', 'Habilidades variables', 'Ingresos', 'Lanzamiento de dados', 'Movimiento de áreas', 'Movimiento en casillas hexagonales', 'Movimiento por celdas', 'Movimiento por tropas', 'Pase de token de acción', 'Robo de consecución de objetivo', 'Tablero modular']","7,80",2-6,2.0,6.0,60-200,60.0,200.0,14.0,4.0,1.0,Reimplementación de,['Eclipse: New Dawn for the Galaxy']
https://www.ludonauta.es/juegos-mesas/lords-of-waterdeep-scoundrels-of-skullport-2013,Lords of Waterdeep: Scoundrels of Skullport,2013,"['Chris Dupuis', 'Peter Lee', 'Rodney Thompson']","['Edificación', 'Fantasía']","['Colección de ítems', 'Colocación de trabajadores', 'Compra / Venta', 'Draft de cartas']","7,78",2-6,2.0,6.0,60,60.0,60.0,12.0,3.0,3.0,Expansión de,['Lords of Waterdeep']
https://www.ludonauta.es/juegos-mesas/heat-2022,Heat,2022,"['Asger Sams Granerud', 'Daniel Skjold Pedersen']","['Carreras', 'Deportes']","['Atrapa al líder', 'Carrera', 'Configuración variable', 'Creación de mazo, bolsa o conjunto', 'Gestión de mano', 'Movimiento sobre track', 'Selección simultánea de acciones', 'Simulación']","7,78",1-6,1.0,6.0,30-60,30.0,60.0,10.0,2.0,1.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/pandemic-legacy-temporada-0-2020,Pandemic Legacy: Temporada 0,2020,"['Matt Leacock', 'Rob Daviau']",['Espionaje'],"['Colección de ítems', 'Comercio', 'Cooperativo', 'Escenarios, misiones o campañas', 'Etiquetas', 'Gestión de mano', 'Habilidades variables', 'Legacy', 'Movimiento entre puntos', 'Puntos de acción']","7,77",2-4,2.0,4.0,45-60,45.0,60.0,14.0,3.0,4.0,Reimplementación de,"['Pandemic', 'Pandemic Legacy: Temporada 2']"
https://www.ludonauta.es/juegos-mesas/los-castillos-de-borgona-2011,Los Castillos de Borgoña,2011,['Stefan Feld'],"['Dados', 'Dominio territorial', 'Medieval']","['Bonus de fin de partida', 'Cobertura de rejilla', 'Colección de ítems', 'Colocación de losetas', 'Colocación de trabajadores con dados', 'Configuración variable', 'Construcción de patrones', 'Lanzamiento de dados', 'Movimiento en casillas hexagonales', 'Orden de turno basado en estadísticas', 'Rondas variables', 'Selección simultánea de acciones']","7,77",2-4,2.0,4.0,30-90,30.0,90.0,12.0,3.0,1.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/el-banquete-de-odin-los-noruegos-2018,El Banquete de Odín: Los Noruegos,2018,"['Gernot Köpke', 'Uwe Rosenberg']","['Agricultura', 'Economía', 'Industrial', 'Medieval', 'Piratas', 'Puzzle']","['Colocación de losetas', 'Colocación de trabajadores', 'Construcción de patrones', 'Ingresos', 'Lanzamiento de dados', 'Solitario']","7,77",1-4,1.0,4.0,30-120,30.0,120.0,12.0,4.0,2.0,Expansión de,['El Banquete de Odín']
https://www.ludonauta.es/juegos-mesas/mage-knight-edicion-definitiva-2018,Mage Knight: Edición Definitiva,2018,"['Paul Grogan', 'Phil Pettifer', 'Vlaada Chvátil']","['Aventuras', 'Combate', 'Exploración', 'Fantasía']","['Colocación de losetas', 'Cooperativo', 'Creación de mazo, bolsa o conjunto', 'Draft de cartas', 'Gestión de mano', 'Habilidades variables', 'Lanzamiento de dados', 'Movimiento por celdas', 'Resolución de conflictos mediante cartas', 'Roles', 'Solitario', 'Tablero modular']","7,76",1-5,1.0,5.0,150,150.0,150.0,14.0,5.0,4.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/everdell-the-complete-collection-2022,Everdell: The Complete Collection,2022,['James A. Wilson'],"['Animales', 'Cartas', 'Edificación', 'Fantasía']","['Bonus de fin de partida', 'Colección de ítems', 'Colocación de trabajadores', 'Configuración variable', 'Draft de cartas', 'Eventos', 'Gestión de mano', 'Habilidades variables', 'Tablero modular']","7,75",1-6,1.0,6.0,40-120,40.0,120.0,10.0,3.0,4.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/twilight-struggle-2005,Twilight Struggle,2005,"['Ananda Gupta', 'Jason Matthews']","['Guerra moderna', 'Político', 'Wargame']","['Acciones/Eventos', 'Batallas dirigidas por cartas', 'Configuración variable', 'Control de áreas / Mayorías', 'Eventos', 'Final por muerte súbita', 'Gestión de mano', 'Lanzamiento de dados', 'Marcador de ventaja', 'Selección simultánea de acciones', 'Simulación', 'Tira y afloja']","7,74",2,2.0,2.0,120-180,120.0,180.0,13.0,4.0,4.0,Integración de,['Twilight Struggle: Red Sea – Conflict in the Horn of Africa']
https://www.ludonauta.es/juegos-mesas/spirit-island-2017,Spirit Island,2017,['R. Eric Reuss'],"['Combate', 'Dominio territorial', 'Edad de la razón', 'Fantasía', 'Medioambiental', 'Mitología', 'Renacimiento']","['Batallas dirigidas por cartas', 'Colección de ítems', 'Configuración variable', 'Control de áreas / Mayorías', 'Cooperativo', 'Draft de cartas', 'Etiquetas', 'Eventos', 'Gestión de mano', 'Habilidades variables', 'Incremento automático de recursos', 'Programación de acciones', 'Recuperación de acciones', 'Selección simultánea de acciones', 'Solitario', 'Tablero modular']","7,74",1-4,1.0,4.0,90-120,90.0,120.0,13.0,4.0,4.0,Integración de,['Horizons of Spirit Island']
https://www.ludonauta.es/juegos-mesas/oathsworn-into-the-deepwood-2022,Oathsworn: Into the Deepwood,2022,['Jamie Jolly'],"['Aventuras', 'Basado en novela', 'Cartas', 'Combate', 'Dados', 'Exploración', 'Fantasía', 'Medieval', 'Miniaturas', 'Mitología', 'Puzzle']","['Cooperativo', 'Creación de mazo, bolsa o conjunto', 'Forzar la suerte', 'Gestión de mano', 'Habilidades variables', 'Lanzamiento de dados', 'Movimiento en casillas hexagonales', 'Narrativo', 'Puntos de acción', 'Reconocimiento de patrones', 'Resolución de conflictos mediante cartas', 'Roles', 'Tablero modular']","7,73",1-4,1.0,4.0,30-90,30.0,90.0,14.0,4.0,5.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/nemesis-2018,Nemesis,2018,['Adam Kwapiński'],"['Aventuras', 'Ciencia ficción', 'Miniaturas', 'Terror']","['Asociaciones / Agrupaciones', 'Batallas dirigidas por cartas', 'Cooperativo', 'Eliminación de jugadores', 'Gestión de mano', 'Habilidades variables', 'Interrupciones', 'Lanzamiento de dados', 'Roles ocultos', 'Semi-cooperativo', 'Solitario', 'Tablero modular', 'Traidor oculto']","7,73",1-5,1.0,5.0,90-180,90.0,180.0,12.0,3.0,3.0,Integración de,['Nemesis: Lockdown']
https://www.ludonauta.es/juegos-mesas/concordia-2013,Concordia,2013,['Mac Gerdts'],"['Economía', 'Edad antigua', 'Marítimo']","['Bonus de fin de partida', 'Colección de ítems', 'Configuración variable', 'Creación de mazo, bolsa o conjunto', 'Draft', 'Draft de cartas', 'Gestión de mano', 'Inversión', 'Marcador de ventaja', 'Movimiento de múltiples unidades', 'Movimiento entre puntos', 'Puntos de movimiento', 'Puntos de victoria ocultos', 'Recuperación de acciones', 'Subasta holandesa']","7,72",2-5,2.0,5.0,100,100.0,100.0,13.0,3.0,3.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/cthulhu-death-may-die-2019,Cthulhu: Death May Die,2019,"['Eric M. Lang', 'Rob Daviau']","['Basado en novela', 'Combate', 'Fantasía', 'Miniaturas', 'Terror']","['Cooperativo', 'Escenarios, misiones o campañas', 'Habilidades variables', 'Lanzamiento de dados', 'Puntos de acción', 'Solitario']","7,72",1-5,1.0,5.0,90-120,90.0,120.0,14.0,2.0,3.0,Integración de,['Cthulhu: Death May Die – Fear of the Unknown']
https://www.ludonauta.es/juegos-mesas/aventureros-al-tren-usa-1910-2006,¡Aventureros al tren! USA 1910 ,2006,['Alan R. Moon'],"['Transporte', 'Trenes', 'Viajes']","['Colección de ítems', 'Draft de cartas', 'Gestión de mano', 'Unión de puntos de un mapa']","7,71",2-5,2.0,5.0,30-60,30.0,60.0,8.0,2.0,1.0,Expansión de,['¡Aventureros al tren!']
https://www.ludonauta.es/juegos-mesas/las-ruinas-perdidas-de-arnak-2020,Las ruinas perdidas de Arnak,2020,"['Elwen', 'Mín']","['Aventuras', 'Edad antigua', 'Exploración', 'Viajes']","['Cartas multiuso', 'Colocación de losetas', 'Colocación de trabajadores', 'Contratos', 'Creación de mazo, bolsa o conjunto', 'Draft', 'Draft de cartas', 'Encadenamiento', 'Habilidades de un solo uso por partida', 'Mercado', 'Movimiento a través de mazo de cartas', 'Orden de turno progresivo', 'Recurso para mover', 'Solitario']","7,71",1-4,1.0,4.0,30-120,30.0,120.0,12.0,3.0,3.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/gaia-project-2017,Gaia Project,2017,"['Helge Ostertag', 'Jens Drögemüller']","['Ciencia ficción', 'Civilización', 'Dominio territorial', 'Economía', 'Exploración espacial', 'Miniaturas']","['Árboles/tracks de tecnología', 'Bonus de fin de partida', 'Configuración variable', 'Contratos', 'Control de áreas / Mayorías', 'Etiquetas', 'Habilidades variables', 'Ingresos', 'Movimiento en casillas hexagonales', 'Orden de turno pasable', 'Puntos de victoria como recursos', 'Rondas variables', 'Solitario', 'Tablero modular', 'Unión de puntos de un mapa']","7,70",1-4,1.0,4.0,60-150,60.0,150.0,12.0,4.0,1.0,Reimplementación de,['Terra Mystica']
https://www.ludonauta.es/juegos-mesas/scythe-2016,Scythe,2016,['Jamey Stegmaier'],"['Agricultura', 'Ciencia ficción', 'Civilización', 'Combate', 'Dominio territorial', 'Economía', 'Exploración', 'Miniaturas', 'Wargame']","['Árboles/tracks de tecnología', 'Bonus de fin de partida', 'Carrera', 'Colocación de trabajadores', 'Compromiso de fuerza', 'Configuración variable', 'Contratos', 'Control de áreas / Mayorías', 'Draft de acciones', 'Elección narrativa / párrafo', 'Habilidades variables', 'Movimiento de múltiples unidades', 'Movimiento en casillas hexagonales', 'Movimiento por celdas', 'Narrativo', 'Puntos de movimiento', 'Puntos de victoria como recursos', 'Resolución de conflictos mediante cartas', 'Rey de la colina', 'Seguimiento', 'Selección simultánea de acciones', 'Solitario', 'Toma eso', 'Zona de control']","7,69",1-5,1.0,5.0,90-115,90.0,115.0,14.0,3.0,3.0,Juego de mesa base,
https://www.ludonauta.es/juegos-mesas/great-western-trail-segunda-edicion-2021,Great Western Trail (Segunda edición),2021,['Alexander Pfister'],"['Animales', 'Economía', 'Oeste americano']","['Colección de ítems', 'Configuración variable', 'Creación de mazo, bolsa o conjunto', 'Gestión de mano', 'Movimiento entre puntos', 'Movimiento sobre track', 'Propiedad', 'Rondel', 'Solitario']","7,69",1-4,1.0,4.0,75-150,75.0,150.0,12.0,4.0,2.0,Reimplementación de,['Great Western Trail ']
